Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,193.66000366210938,193.88999938964844,189.85000610351562,190.22999572753906,188.8594970703125,1590500
2020-01-03,188.60000610351562,191.5399932861328,187.36000061035156,189.32000732421875,187.95606994628906,1251100
2020-01-06,188.3300018310547,189.2899932861328,187.67999267578125,187.7100067138672,186.35765075683594,1294800
2020-01-07,187.11000061035156,189.89999389648438,186.3300018310547,187.47000122070312,186.11940002441406,1556700
2020-01-08,187.5,188.8300018310547,186.19000244140625,187.5399932861328,186.18887329101562,1185900
2020-01-09,187.91000366210938,190.2899932861328,187.91000366210938,190.0399932861328,188.67088317871094,1115600
2020-01-10,190.4499969482422,190.52999877929688,188.72000122070312,188.92999267578125,187.56887817382812,828600
2020-01-13,189.27000427246094,191.47000122070312,189.27000427246094,191.41000366210938,190.031005859375,645400
2020-01-14,190.9499969482422,191.80999755859375,189.4600067138672,189.9600067138672,188.59146118164062,1212600
2020-01-15,189.86000061035156,192.39999389648438,189.82000732421875,191.4499969482422,190.07069396972656,657000
2020-01-16,192.32000732421875,193.49000549316406,191.8699951171875,193.0,191.60955810546875,1393700
2020-01-17,193.47999572753906,195.60000610351562,192.25,195.5800018310547,194.17095947265625,1157300
2020-01-21,195.39999389648438,197.00999450683594,194.7100067138672,195.5399932861328,194.13124084472656,1273100
2020-01-22,196.47000122070312,197.49000549316406,195.6699981689453,196.39999389648438,194.9850616455078,1408200
2020-01-23,197.05999755859375,198.4600067138672,195.74000549316406,198.3000030517578,196.87136840820312,1253300
2020-01-24,198.5500030517578,199.2899932861328,197.0,198.00999450683594,196.58343505859375,891100
2020-01-27,196.19000244140625,197.41000366210938,195.4600067138672,196.75,195.33253479003906,1156700
2020-01-28,196.88999938964844,198.8699951171875,196.16000366210938,198.17999267578125,196.75222778320312,894900
2020-01-29,199.0,199.6699981689453,197.7100067138672,197.80999755859375,196.3848876953125,587700
2020-01-30,197.60000610351562,199.67999267578125,196.27000427246094,199.47999572753906,198.04286193847656,654100
2020-01-31,198.27000427246094,199.25,195.57000732421875,196.11000061035156,194.69712829589844,1095000
2020-02-03,197.05999755859375,201.82000732421875,196.1999969482422,201.52999877929688,200.07809448242188,1612700
2020-02-04,202.32000732421875,204.5800018310547,201.74000549316406,203.4499969482422,201.9842529296875,1388800
2020-02-05,204.82000732421875,206.5,202.49000549316406,206.3000030517578,204.81373596191406,1443900
2020-02-06,206.5,207.1699981689453,205.3000030517578,207.11000061035156,205.61788940429688,1235600
2020-02-07,206.97999572753906,207.5,205.11000061035156,205.63999938964844,204.15847778320312,832200
2020-02-10,204.99000549316406,205.72000122070312,204.3300018310547,204.94000244140625,203.4635467529297,877500
2020-02-11,204.8000030517578,205.8800048828125,204.52000427246094,204.6199951171875,203.1458282470703,901100
2020-02-12,205.63999938964844,207.5,204.80999755859375,206.82000732421875,205.32998657226562,1100000
2020-02-13,206.36000061035156,208.64999389648438,205.30999755859375,207.05999755859375,205.56825256347656,1088300
2020-02-14,207.52000427246094,208.1300048828125,206.49000549316406,207.30999755859375,205.8164520263672,1377300
2020-02-18,207.17999267578125,209.6699981689453,204.7100067138672,207.67999267578125,206.18377685546875,1355800
2020-02-19,208.6199951171875,210.7100067138672,208.22000122070312,210.30999755859375,208.79483032226562,1200800
2020-02-20,210.0,211.24000549316406,205.02000427246094,206.30999755859375,204.82363891601562,1200200
2020-02-21,205.80999755859375,208.8300018310547,205.58999633789062,207.5,206.0050811767578,1053800
2020-02-24,203.83999633789062,205.50999450683594,202.25999450683594,202.52000427246094,201.06097412109375,1307000
2020-02-25,202.0,203.41000366210938,193.72000122070312,194.77999877929688,193.37672424316406,1285800
2020-02-26,195.5,197.63999938964844,193.83999633789062,194.42999267578125,193.02923583984375,1716300
2020-02-27,191.3800048828125,192.7100067138672,183.42999267578125,183.47999572753906,182.15811157226562,2116600
2020-02-28,178.33999633789062,180.61000061035156,174.00999450683594,180.4499969482422,179.14996337890625,3424800
2020-03-02,182.6999969482422,191.27999877929688,182.08999633789062,191.22000122070312,189.84237670898438,1778700
2020-03-03,192.1999969482422,197.0399932861328,191.0,193.9199981689453,192.52291870117188,3065700
2020-03-04,197.91000366210938,204.52999877929688,195.39999389648438,204.33999633789062,202.8678436279297,1897700
2020-03-05,199.2899932861328,202.74000549316406,197.5500030517578,198.91000366210938,197.4769744873047,1599100
2020-03-06,193.91000366210938,195.75,188.8800048828125,194.41000366210938,193.00938415527344,1864400
2020-03-09,182.75,189.97000122070312,181.25,183.83999633789062,182.51553344726562,2081600
2020-03-10,188.9600067138672,191.72999572753906,180.91000366210938,190.85000610351562,189.4750518798828,2935700
2020-03-11,185.36000061035156,187.63999938964844,182.3000030517578,186.5800018310547,185.23580932617188,2145400
2020-03-12,174.6300048828125,178.38999938964844,165.0,165.05999755859375,163.87083435058594,2583500
2020-03-13,173.85000610351562,180.86000061035156,164.4499969482422,180.07000732421875,178.772705078125,1908600
2020-03-16,163.3000030517578,173.2899932861328,157.41000366210938,166.1199951171875,165.35479736328125,2419400
2020-03-17,167.58999633789062,176.6999969482422,163.63999938964844,169.5,168.71922302246094,2791100
2020-03-18,164.97999572753906,170.89999389648438,143.61000061035156,156.52999877929688,155.8089599609375,2395700
2020-03-19,155.57000732421875,164.4499969482422,151.47999572753906,159.5800018310547,158.8449249267578,2084600
2020-03-20,159.4199981689453,159.42999267578125,140.57000732421875,141.8800048828125,141.22645568847656,2746200
2020-03-23,141.32000732421875,141.32000732421875,124.5999984741211,125.22000122070312,124.64319610595703,3445300
2020-03-24,135.41000366210938,154.4600067138672,132.02999877929688,152.97000122070312,152.26536560058594,3078900
2020-03-25,151.02000427246094,157.00999450683594,148.2100067138672,151.77999877929688,151.08084106445312,2236400
2020-03-26,154.69000244140625,163.2100067138672,153.02000427246094,161.69000244140625,160.94520568847656,2426000
2020-03-27,154.97000122070312,162.1999969482422,153.4199981689453,157.47999572753906,156.7545928955078,1800600
2020-03-30,160.02000427246094,162.5800018310547,157.25999450683594,161.39999389648438,160.6565399169922,1773800
2020-03-31,160.13999938964844,160.6999969482422,155.3800048828125,155.8300018310547,155.1121826171875,2442800
2020-04-01,150.4199981689453,151.22000122070312,145.30999755859375,146.6999969482422,146.02423095703125,2659600
2020-04-02,147.2100067138672,152.97000122070312,145.77000427246094,152.16000366210938,151.45909118652344,2486500
2020-04-03,151.3000030517578,154.72000122070312,146.57000732421875,147.25999450683594,146.5816650390625,1635000
2020-04-06,154.97000122070312,158.6300048828125,153.9600067138672,157.38999938964844,156.66500854492188,1708100
2020-04-07,162.91000366210938,164.7899932861328,158.1300048828125,159.11000061035156,158.37709045410156,1464700
2020-04-08,159.97999572753906,171.77999877929688,158.4199981689453,170.80999755859375,170.023193359375,1723200
2020-04-09,173.33999633789062,180.33999633789062,172.00999450683594,179.86000061035156,179.03150939941406,2170900
2020-04-13,176.33999633789062,180.10000610351562,171.77999877929688,174.66000366210938,173.85546875,1287800
2020-04-14,180.0,181.5399932861328,177.36000061035156,180.8000030517578,179.96717834472656,1748400
2020-04-15,178.08999633789062,178.3800048828125,173.64999389648438,174.66000366210938,173.85546875,1069800
2020-04-16,175.35000610351562,176.19000244140625,170.35000610351562,172.49000549316406,171.69546508789062,921300
2020-04-17,176.66000366210938,179.25999450683594,175.0,178.75,177.92662048339844,1265900
2020-04-20,175.77000427246094,176.88999938964844,172.75,172.9600067138672,172.16329956054688,1011100
2020-04-21,170.0,172.38999938964844,168.55999755859375,170.16000366210938,169.3761749267578,875200
2020-04-22,173.07000732421875,175.60000610351562,171.9499969482422,174.75999450683594,173.95498657226562,985400
2020-04-23,175.42999267578125,178.0800018310547,175.00999450683594,175.0399932861328,174.23370361328125,1296900
2020-04-24,177.1300048828125,180.22000122070312,174.94000244140625,180.0800018310547,179.25050354003906,1272900
2020-04-27,180.72999572753906,189.0,180.52000427246094,187.50999450683594,186.64627075195312,1783300
2020-04-28,194.0,199.82000732421875,191.25999450683594,197.5800018310547,196.6698760986328,2385200
2020-04-29,197.83999633789062,199.9499969482422,196.66000366210938,197.5800018310547,196.6698760986328,1638100
2020-04-30,194.1199951171875,195.3300018310547,192.0500030517578,193.5,192.60867309570312,2138400
2020-05-01,190.2100067138672,191.22000122070312,187.83999633789062,190.0,189.1248016357422,1356600
2020-05-04,188.94000244140625,191.8000030517578,185.85000610351562,191.52000427246094,190.63780212402344,1101800
2020-05-05,195.3699951171875,196.69000244140625,192.92999267578125,193.32000732421875,192.4295196533203,1092700
2020-05-06,193.25,196.5,192.22000122070312,193.02999877929688,192.1408233642578,1185300
2020-05-07,196.25,197.02999877929688,193.47999572753906,194.1199951171875,193.22581481933594,1014400
